,name,amenity,lat,lon,neighbourhood
0,Scotiabank Theatre Vancouver,cinema,49.2819978,-123.1243463,Downtown
1,VPL Fraserview Branch,library,49.2195944,-123.0668488,Victoria-Fraserview
8,Goldcorp Centre for the Arts,cinema,49.2826068,-123.108081,Downtown
16,The Post at 750,arts_centre,49.2787749,-123.1146836,Downtown
17,Firehall Branch,library,49.2628124,-123.1375056,Fairview
19,Cineplex Cinemas Marine Gateway and VIP,cinema,49.2098186,-123.1157123,Marpole
28,Vancouver Public Library South Hill Branch,library,49.2294991,-123.0903994,Sunset
29,Vancouver Public Library - nə́c̓aʔmat ct Strathcona Branch,library,49.2809809,-123.0888583,Strathcona
30,Vancouver Public Library Kerrisdale Branch,library,49.2332919,-123.1561315,Kerrisdale
31,Community Book Exchange,public_bookcase,49.2737741,-123.0521883,Hastings-Sunrise
33,chART Public Art Marpole,public_bookcase,49.2070741,-123.1342324,Marpole
38,The Park Theatre,cinema,49.2544714,-123.1149885,Riley Park
39,Vancouver International Film Centre,cinema,49.2770164,-123.1248993,Downtown
40,Mount Pleasant Branch,library,49.2642773,-123.100343,Mount Pleasant
42,Arts Umbrella,arts_centre,49.2695808,-123.1332986,Fairview
43,VPL Britannia Branch,library,49.2749646,-123.0707081,Grandview-Woodland
44,VPL Kensington Branch,library,49.2491218,-123.0756558,Kensington-Cedar Cottage
47,VPL Terry Salman Branch,library,49.2440111,-123.1081716,Riley Park
48,VPL Joe Fortes Branch,library,49.2905053,-123.13656,West End
49,Contemporary Art Gallery,arts_centre,49.2782799,-123.1211851,Downtown
50,Hastings Branch,library,49.2808807,-123.0501855,Hastings-Sunrise
51,Vancouver Public Library - Champlain Heights,library,49.2189889,-123.039568,Killarney
52,VPL Marpole Branch,library,49.2103246,-123.1402111,Marpole
55,,public_bookcase,49.2747401,-123.0677071,Grandview-Woodland
60,VPL Carnegie Branch,library,49.281056,-123.1000064,Downtown
67,Little Free Library,public_bookcase,49.2547493,-123.0710983,Kensington-Cedar Cottage
68,Ladybug Community Little Library,public_bookcase,49.2633618,-123.070821,Grandview-Woodland
71,FlyOver Canada,cinema,49.2891958,-123.110351,Downtown
74,The Cinematheque,cinema,49.2786691,-123.1264603,Downtown
75,VPL Kitsilano Branch,library,49.2647206,-123.1687156,Kitsilano
85,Multimedia Library AFV,library,49.2287379,-123.1168697,Oakridge
