,name,amenity,lat,lon
73,Scotiabank Theatre Vancouver,cinema,49.2819978,-123.1243463
92,VPL Fraserview Branch,library,49.2195944,-123.0668488
182,Little Free Library,public_bookcase,49.0387968,-122.2400733
193,Queensborough Library,library,49.186067800000004,-122.9435292
299,Evergreen Cultural Centre,arts_centre,49.2853872,-122.7909589
712,Cineplex Cinemas Esplanade,cinema,49.3127437,-123.0827482
970,,public_bookcase,49.0443423,-122.3052828
1280,Richmond Public Library,library,49.12546,-123.1783832
1396,Goldcorp Centre for the Arts,cinema,49.2826068,-123.108081
2007,Library Services,library,49.0371698,-122.3117361
2390,Fort Langley Library,library,49.1690817,-122.5800011
2427,Richmond Public Library,library,49.1319722,-123.0928771
2448,Ladner Pioneer Library,library,49.0880524,-123.0830061
2458,Cameron Library,library,49.2538168,-122.8985447
2460,Shadbolt Centre For the Arts,arts_centre,49.2406991,-122.96951
2532,Rialto White Rock,cinema,49.03348,-122.8007654
3026,The Post at 750,arts_centre,49.2787749,-123.1146836
3271,Firehall Branch,library,49.2628124,-123.1375056
3328,City of Langley Library,library,49.1038139,-122.6570565
3530,Cineplex Cinemas Marine Gateway and VIP,cinema,49.2098186,-123.1157123
3719,Fleetwood Library,library,49.1551977,-122.7797132
3732,Newton Library,library,49.13037,-122.8401405
3735,Semiahmoo Library,library,49.0351454,-122.8014365
3736,Muriel Arnason Library,library,49.1204009,-122.6596623
3759,Busybee Art Studio,arts_centre,49.0660316,-122.3776476
3853,Town Centre Park Little Free Library - #34713,public_bookcase,49.2891663,-122.786352
3854,Semiahmoo Rotary Book Exchange,public_bookcase,49.0172419,-122.7921078
3855,Sapperton Plaza - Free Little Library #20900,public_bookcase,49.2284014,-122.8933428
3915,Vancouver Public Library South Hill Branch,library,49.2294991,-123.0903994
4438,Vancouver Public Library - nə́c̓aʔmat ct Strathcona Branch,library,49.2809809,-123.0888583
4588,Vancouver Public Library Kerrisdale Branch,library,49.2332919,-123.1561315
4669,Community Book Exchange,public_bookcase,49.2737741,-123.0521883
4731,McGill Library,library,49.2826072,-123.0006149
5013,chART Public Art Marpole,public_bookcase,49.2070741,-123.1342324
5229,Ray and Millie Silver Aboriginal Library,library,49.0615079,-122.3166064
5571,Richmond Public Library - Cambie Branch,library,49.1835995,-123.0946044
6026,Cineplex Cinemas & VIP,cinema,49.3253576,-123.1381996
6121,Murrayville Library,library,49.0896237,-122.6116748
6504,The Park Theatre,cinema,49.2544714,-123.1149885
7198,Vancouver International Film Centre,cinema,49.2770164,-123.1248993
7398,Mount Pleasant Branch,library,49.2642773,-123.100343
8152,North Vancouver District Public Library - Lynn Valley,library,49.3363927,-123.0386291
8159,Arts Umbrella,arts_centre,49.2695808,-123.1332986
8251,VPL Britannia Branch,library,49.2749646,-123.0707081
8252,VPL Kensington Branch,library,49.2491218,-123.0756558
8699,,library,49.2493863,-123.0007303
9029,,public_bookcase,49.1293277,-122.7234755
9490,VPL Terry Salman Branch,library,49.2440111,-123.1081716
9543,VPL Joe Fortes Branch,library,49.2905053,-123.13656
9548,Contemporary Art Gallery,arts_centre,49.2782799,-123.1211851
9839,Hastings Branch,library,49.2808807,-123.0501855
10024,Vancouver Public Library - Champlain Heights,library,49.2189889,-123.039568
10224,VPL Marpole Branch,library,49.2103246,-123.1402111
10376,,public_bookcase,49.0659291,-122.8247675
10495,Cineplex Cinemas Abbotsford and VIP,cinema,49.0582354,-122.3780877
10647,,public_bookcase,49.2747401,-123.0677071
10728,,public_bookcase,49.1300525,-122.6965544
10850,Brookswood Library,library,49.0749371,-122.6684308
11341,,public_bookcase,49.1526135,-122.9013474
11424,Richmond Public Library (Brighouse),library,49.1640187,-123.1415701
11486,VPL Carnegie Branch,library,49.281056,-123.1000064
11887,Burnaby Art Council,arts_centre,49.2389634,-122.9687535
12114,,public_bookcase,49.1923813,-122.9255539
12115,,public_bookcase,49.1957296,-122.9272487
12183,,public_bookcase,49.1069632,-122.727604
12185,,public_bookcase,49.0280626,-123.0572999
12599,Mission Library,library,49.1355227,-122.3035316
13108,Little Free Library,public_bookcase,49.2547493,-123.0710983
13109,Ladybug Community Little Library,public_bookcase,49.2633618,-123.070821
13124,Mieke's Library,public_bookcase,49.0175823,-122.7793706
13165,UFV Library,library,49.0285295,-122.2833678
13172,FlyOver Canada,cinema,49.2891958,-123.110351
13300,Tsawwassen Library,library,49.0265835,-123.0710778
13304,Tsawwassen Arts Centre,arts_centre,49.0241004,-123.0680384
13420,The Cinematheque,cinema,49.2786691,-123.1264603
13466,VPL Kitsilano Branch,library,49.2647206,-123.1687156
13588,Abbotsford Community Library,library,49.0431845,-122.3006352
13922,Little Free Library,public_bookcase,49.2135437,-122.9155705
14060,Fraser Library,library,49.1880726,-122.8498963
14529,,public_bookcase,49.029542,-122.8142594
14531,Port Moody Library,library,49.2825169,-122.8296495
14535,Strawberry Hill Library,library,49.1373677,-122.8850613
14596,,public_bookcase,49.2069059,-122.7970299
14667,Pitt Meadows Library,library,49.2220694,-122.6901208
15107,Computer Science Reading Room,library,49.2612513,-123.2491887
15248,Multimedia Library AFV,library,49.2287379,-123.1168697
15458,,public_bookcase,49.0700193,-122.6696801
15510,Walnut Grove Library,library,49.1633111,-122.6415706
15636,Little Free Library #5269,public_bookcase,49.2452495,-123.1039359
15637,Little Free Library #31614,public_bookcase,49.2396371,-123.0972162
15639,Little Free Library #48345,public_bookcase,49.2464056,-123.0967476
15640,Little Free Library #1337,public_bookcase,49.2475796,-123.0930575
15780,,public_bookcase,49.2162561,-122.920117
15782,,public_bookcase,49.2139452,-122.9811246
15783,,public_bookcase,49.2113959,-122.9146882
15784,,public_bookcase,49.2135854,-122.9164146
15877,,public_bookcase,49.2540229,-123.1222506
15878,,public_bookcase,49.2561999,-123.1216211
