TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,3,16,19,10XX ALBERNI ST,West End,491036.0799,5459145.9182
Break and Enter Commercial,2022,3,15,5,14,10XX ALBERNI ST,West End,491102.2439,5459092.4351
Break and Enter Commercial,2022,3,19,6,42,10XX ALBERNI ST,West End,491102.2439,5459092.4351
Break and Enter Commercial,2022,2,23,23,0,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,2,25,10,15,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,3,27,9,13,10XX BEACH AVE,West End,490227.2225,5458210.3785
Break and Enter Commercial,2022,1,20,11,9,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2022,1,11,3,3,10XX BROUGHTON ST,West End,490247.4903,5459171.3852
Break and Enter Commercial,2022,1,7,6,2,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2022,2,13,6,22,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2022,4,4,23,0,10XX CLARK DR,Grandview-Woodland,494382.6035,5458098.4078
Break and Enter Commercial,2022,2,2,0,24,10XX DAVIE ST,West End,490512.2892,5458572.4873
Break and Enter Commercial,2022,1,21,3,30,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,26,21,59,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,2,26,18,16,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,20,22,0,10XX E 12TH AVE,Mount Pleasant,493942.0396,5456323.9102
Break and Enter Commercial,2022,1,25,21,0,10XX E 50TH AVE,Sunset,493883.5176,5452404.9326
Break and Enter Commercial,2022,3,23,13,37,10XX E BROADWAY AVE,Mount Pleasant,493947.3834,5456638.568
Break and Enter Commercial,2022,1,31,4,45,10XX HARWOOD ST,West End,490370.0447,5458403.2085
Break and Enter Commercial,2022,3,17,9,36,10XX HOMER ST,Central Business District,491253.957,5458277.2182
Break and Enter Commercial,2022,2,17,10,1,10XX HOWE ST,Central Business District,490891.0561,5458484.3504
Break and Enter Commercial,2022,1,2,9,0,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Break and Enter Commercial,2022,1,4,13,55,10XX MAINLAND ST,Central Business District,491260.9943,5458119.7955
Break and Enter Commercial,2022,1,18,5,42,10XX MAINLAND ST,Central Business District,491279.0572,5458138.529
Break and Enter Commercial,2022,1,8,8,30,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,1,22,20,15,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,2,14,0,0,10XX SMITHE ST,West End,490889.6581,5458932.8868
Break and Enter Commercial,2022,1,13,3,33,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2022,3,24,21,54,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2022,3,13,19,29,10XX W 15TH AVE,Fairview,490661.6896,5456122.0101
Break and Enter Commercial,2022,2,3,12,42,10XX W 42ND AVE,Oakridge,490657.8843,5453363.0487
Break and Enter Commercial,2022,1,11,0,18,10XX W BROADWAY AVE,Fairview,490755.7444,5456742.0604
Break and Enter Commercial,2022,1,25,5,17,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Break and Enter Commercial,2022,2,11,4,50,11XX ALBERNI ST,West End,491001.9697,5459192.9578
Break and Enter Commercial,2022,3,9,13,33,11XX DENMAN ST,West End,489715.3524,5459422.986
Break and Enter Commercial,2022,3,8,7,12,11XX E PENDER ST,Strathcona,494166.864,5458585.1249
Break and Enter Commercial,2022,2,11,15,0,11XX GILFORD ST,West End,489677.2724,5459612.6816
Break and Enter Commercial,2022,2,25,1,0,11XX GRANVILLE ST,Central Business District,490849.4359,5458295.9346
Break and Enter Commercial,2022,3,11,12,25,11XX GRANVILLE ST,Central Business District,490849.4359,5458295.9346
Break and Enter Commercial,2022,2,11,5,48,11XX GRANVILLE ST,Central Business District,490883.6102,5458343.2561
Break and Enter Commercial,2022,2,9,11,29,11XX GRANVILLE ST,Central Business District,490885.5183,5458332.2084
Break and Enter Commercial,2022,1,4,11,53,11XX HAMILTON ST,Central Business District,491169.8317,5458106.3448
Break and Enter Commercial,2022,3,17,6,38,11XX HOMER ST,Central Business District,491104.8139,5458126.4139
Break and Enter Commercial,2022,2,1,14,45,11XX HOMER ST,Central Business District,491118.2287,5458139.7575
Break and Enter Commercial,2022,1,8,18,50,11XX HORNBY ST,Central Business District,490765.3084,5458508.2562
Break and Enter Commercial,2022,1,18,4,48,11XX MAINLAND ST,Central Business District,491197.3282,5458068.4608
Break and Enter Commercial,2022,2,5,15,0,11XX MELVILLE ST,Central Business District,491076.9743,5459365.1598
Break and Enter Commercial,2022,3,1,9,18,11XX RICHARDS ST,Central Business District,491058.183,5458236.7356
Break and Enter Commercial,2022,3,15,4,55,11XX ROBSON ST,West End,490865.5807,5459149.92
Break and Enter Commercial,2022,1,14,16,14,11XX ROBSON ST,West End,490909.5334,5459106.0202
Break and Enter Commercial,2022,3,26,14,0,11XX VERNON DR,Strathcona,494273.6322,5457999.8731
Break and Enter Commercial,2022,1,22,6,38,11XX W CORDOVA ST,Central Business District,491131.6171,5459616.1289
Break and Enter Commercial,2022,1,22,18,0,11XX W PENDER ST,Central Business District,491187.9805,5459452.1543
Break and Enter Commercial,2022,3,22,4,28,11XX W PENDER ST,Central Business District,491220.8681,5459437.205
Break and Enter Commercial,2022,1,30,6,57,11XX WILLIAM ST,Strathcona,494196.0232,5457932.3133
Break and Enter Commercial,2022,2,21,9,25,12XX ALBERNI ST,West End,490834.0469,5459342.8923
Break and Enter Commercial,2022,1,17,9,33,12XX BURNABY ST,West End,490160.1998,5458766.4917
Break and Enter Commercial,2022,2,19,11,51,12XX DAVIE ST,West End,490261.2386,5458825.3135
Break and Enter Commercial,2022,2,21,20,44,12XX DAVIE ST,West End,490266.4749,5458820.1549
Break and Enter Commercial,2022,1,11,3,44,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.7816
Break and Enter Commercial,2022,3,5,9,0,12XX E 2ND AVE,Strathcona,494287.6423,5457341.6658
Break and Enter Commercial,2022,3,20,12,8,12XX E 63RD AVE,Sunset,494122.2864,5451118.9261
Break and Enter Commercial,2022,4,3,9,48,12XX E PENDER ST,Strathcona,494245.2387,5458634.8392
Break and Enter Commercial,2022,3,27,3,0,12XX E PENDER ST,Strathcona,494315.5427,5458623.3293
Break and Enter Commercial,2022,2,12,13,0,12XX E PENDER ST,Strathcona,494352.5672,5458631.2352
Break and Enter Commercial,2022,2,9,21,0,12XX FRANCES ST,Strathcona,494273.9004,5458524.1362
Break and Enter Commercial,2022,1,5,0,15,12XX GRANVILLE ST,Central Business District,490713.5555,5458170.1883
Break and Enter Commercial,2022,2,8,3,22,12XX HAMILTON ST,Central Business District,491003.286,5457952.4561
Break and Enter Commercial,2022,3,4,8,0,12XX HOMER ST,Central Business District,490977.8194,5457999.5501
Break and Enter Commercial,2022,1,1,22,0,12XX HOMER ST,Central Business District,491002.1164,5458023.9432
Break and Enter Commercial,2022,3,16,4,21,12XX HOMER ST,Central Business District,491030.8311,5458052.7713
Break and Enter Commercial,2022,1,29,11,46,12XX HOWE ST,Central Business District,490735.2885,5458339.4652
Break and Enter Commercial,2022,1,5,18,0,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494214.0571,5455470.8166
Break and Enter Commercial,2022,2,15,2,59,12XX MARINASIDE CRES,Central Business District,491202.3906,5457736.0027
Break and Enter Commercial,2022,3,9,1,56,12XX ODLUM DR,Grandview-Woodland,494481.1527,5457828.1824
Break and Enter Commercial,2022,2,22,5,33,12XX PACIFIC BLVD,Central Business District,491071.5187,5457900.6399
Break and Enter Commercial,2022,3,13,17,30,12XX RICHARDS ST,Central Business District,490922.1059,5458085.9277
Break and Enter Commercial,2022,1,6,2,23,12XX ROBSON ST,West End,490672.1132,5459356.1019
Break and Enter Commercial,2022,2,11,7,30,12XX ROBSON ST,West End,490694.6097,5459320.7013
Break and Enter Commercial,2022,1,31,2,36,12XX SEYMOUR ST,Central Business District,490806.8322,5458106.8447
Break and Enter Commercial,2022,2,11,0,8,12XX SEYMOUR ST,Central Business District,490806.8322,5458106.8447
Break and Enter Commercial,2022,2,15,5,50,12XX W 12TH AVE,Fairview,490274.4171,5456452.1616
Break and Enter Commercial,2022,2,9,2,56,12XX W GEORGIA ST,Central Business District,490801.1422,5459474.3096
Break and Enter Commercial,2022,1,14,1,37,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Break and Enter Commercial,2022,1,3,19,12,13XX ALBERNI ST,West End,490667.2323,5459516.388
Break and Enter Commercial,2022,2,7,1,50,13XX ALBERNI ST,West End,490700.6544,5459484.513
Break and Enter Commercial,2022,1,3,5,0,13XX BUTE ST,West End,490161.8499,5458657.1232
Break and Enter Commercial,2022,1,1,11,52,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2022,1,29,6,26,13XX COMMERCIAL DR,Grandview-Woodland,494942.0326,5457760.1763
Break and Enter Commercial,2022,1,16,5,19,13XX E 12TH AVE,Kensington-Cedar Cottage,494376.0822,5456316.4627
Break and Enter Commercial,2022,1,30,8,0,13XX E 1ST AVE,Grandview-Woodland,494436.008,5457429.5914
Break and Enter Commercial,2022,1,13,17,0,13XX E HASTINGS ST,Grandview-Woodland,494419.2444,5458739.2092
Break and Enter Commercial,2022,1,1,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,8,12,51,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,16,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,23,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,30,14,39,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,2,9,5,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,2,22,14,6,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,3,7,19,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,12,11,6,13XX E KENT AVE S,Sunset,494137.8159,5450678.6668
Break and Enter Commercial,2022,2,22,12,45,13XX HARWOOD ST,West End,489982.1939,5458802.5653
Break and Enter Commercial,2022,1,3,10,54,13XX HORNBY ST,Central Business District,490495.2398,5458234.8932
Break and Enter Commercial,2022,1,28,1,50,13XX HORNBY ST,Central Business District,490495.2398,5458234.8932
Break and Enter Commercial,2022,3,23,8,36,13XX HOWE ST,Central Business District,490565.4463,5458169.3364
Break and Enter Commercial,2022,1,22,0,27,13XX JERVIS ST,West End,489987.349,5458693.3784
Break and Enter Commercial,2022,1,11,6,18,13XX JERVIS ST,West End,490041.9713,5458762.2657
Break and Enter Commercial,2022,2,3,19,45,13XX NELSON ST,West End,490330.5796,5459217.3571
