,name,amenity,lat,lon
187,UBC Learning Exchange,university,49.2792244,-123.0995102
609,Mermaid Fountain,fountain,49.2292458,-123.0046943
610,,fountain,49.2261655,-122.9971344
718,,photo_booth,49.0497737,-122.3118914
806,,fountain,49.196931,-123.139943
871,,fountain,49.2524624,-122.9007733
872,,fountain,49.2524012,-122.9015139
1265,,fountain,49.1763494,-123.1447773
1266,,fountain,49.1764101,-123.143846
1371,Trinity Western University - Richmond,university,49.1713682,-123.139766
1372,Simon Fraser University - Vancouver Campus,university,49.2844778,-123.1123491
1473,,fountain,49.2956217,-123.1384083
1531,Gastown Steam Clock,clock,49.2843841,-123.1088901
1727,,fountain,49.2260205,-122.9992738
1939,Abbotsford Flea Market,marketplace,49.0660353,-122.324949
1989,,fountain,49.2800682,-123.1133715
2068,,fountain,49.0065949,-122.7584246
2743,,fountain,49.1887438,-122.8019749
3122,,fountain,49.1970837,-123.1765357
3147,,clock,49.0495751,-122.3385684
3784,,fountain,49.267476,-123.1192433
4019,,fountain,49.2782155,-122.9128141
4239,,fountain,49.1798161,-122.8301063
4240,,fountain,49.1797582,-122.8297628
4241,,fountain,49.1797737,-122.8298997
4593,,fountain,49.1416782,-122.6020907
4594,,fountain,49.2690869,-123.2573454
4818,Fruition Day Spa,spa,49.3069372,-122.9537426
4821,,fountain,49.1261505,-122.3829785
4824,,fountain,49.1266244,-122.3829747
4858,Simon Fraser University Surrey Campus,university,49.1873731,-122.8494792
4865,Su Casa Spa,spa,49.1682974,-122.5796899
4938,Main St. Station Farmers Market,marketplace,49.2737748,-123.0987118
4960,Olive The Best,marketplace,49.2830332,-122.8260224
5159,Footworks Relaxology,spa,49.2639931,-123.1718054
5242,,fountain,49.0613197,-122.3128348
5259,,fountain,49.1894132,-122.9398803
5736,Queen Victoria Memorial Fountain,fountain,49.2971977,-123.1339868
5928,Mount Pleasant Clock,clock,49.2641386,-123.1009147
6184,Simon Fraser University,university,49.2824032,-123.1085513
6206,Vista Digital,internet_cafe,49.2804768,-123.1316113
6494,CB2,marketplace,49.2868127,-123.1279668
6562,,fountain,49.1908107,-122.8487968
6934,,fountain,49.0852013,-123.0589029
7104,,clock,49.0961547,-122.0447308
7230,,fountain,49.2851373,-123.1283603
7327,,clock,49.0509418,-122.3085382
7433,,fountain,49.2857165,-123.1203257
7556,,fountain,49.2545894,-123.2332979
7583,,fountain,49.2541793,-123.236261
7595,UBC Farm Market,marketplace,49.250765,-123.2379433
7702,,fountain,49.2719574,-123.1459227
7833,Edward VII,fountain,49.2832215,-123.1206763
8585,,fountain,49.290018,-123.1212713
8830,,marketplace,49.2288348,-123.0047566
8999,,fountain,49.1110677,-123.0741016
9465,UBC Robson Square,university,49.2824825,-123.1214006
9504,,fountain,49.2755353,-123.1345675
9553,,fountain,49.2762293,-123.1242535
9554,,fountain,49.2807997,-123.1260556
9682,,fountain,49.2463732,-122.8108576
10043,,fountain,49.2467509,-122.8094693
10253,Main Wellness Centre,spa,49.2580228,-123.1013897
11216,,fountain,49.2723046,-123.1401592
11531,Shipyards Christmas Market,marketplace,49.3102032,-123.0796271
12271,,fountain,49.203303,-122.929913
12429,,fountain,49.2792994,-122.9133219
12504,5FiftyGame,internet_cafe,49.2833999,-123.1145203
12638,,fountain,49.2521822,-122.9016458
12704,Civic Plaza Fountain,fountain,49.3209702,-123.0729964
13026,Sunstone Fountain,fountain,49.1558522,-122.923471
13188,Trout Lake Farmer's Market,marketplace,49.2579971,-123.0619281
13189,Riley Park Farmers Market,marketplace,49.2430113,-123.1045469
13190,Downtown Farmers Market,marketplace,49.2799433,-123.1137757
13191,Kitsilano Farmers Market,marketplace,49.2621368,-123.1615562
13192,Mount Pleasant Farmers Market,marketplace,49.2637862,-123.0937361
13193,West End Farmers Market,marketplace,49.2826727,-123.1304201
13403,,fountain,49.2544107,-123.2472686
13613,Burnaby Artisan Farmers' Market,marketplace,49.2434955,-122.9730161
13660,Abbotsford Farm & Country Market,marketplace,49.0478642,-122.29258
13670,,fountain,49.2598625,-123.1224422
13742,,fountain,49.2588513,-123.2349676
13880,Fitness City,park,49.2527909,-122.8934829
14478,The Cloverdale Market,marketplace,49.1121833,-122.7335488
14518,,fountain,49.0269034,-122.426808
14519,,clock,49.0247529,-122.8013315
14812,,fountain,49.1925958,-123.1818106
14989,Birks Clock,clock,49.2851447,-123.1140076
15113,Vancouver Farmers Market,marketplace,49.2426067,-123.1043501
15114,Vancouver Farmers Market,marketplace,49.2830614,-123.0423499
15153,,fountain,49.2822628,-123.1300562
15579,,fountain,49.098411,-122.678099
15580,,fountain,49.0984273,-122.6772134
15615,,fountain,49.0592221,-122.3156697
15723,,clock,49.1060122,-122.661857
15958,Miraj Hammam Spa,spa,49.2663063,-123.1380996
15970,Lions Clock,clock,49.2420274,-123.1129332
16065,,clock,49.2573713,-123.1009599
16190,Waterfall at Charland,fountain,49.2481787,-122.8684462
16927,,fountain,49.0544603,-122.3290748
17013,Lafarge Lake Fountain,fountain,49.2865179,-122.789356
17060,Vancouver Hack Space,leisure,49.2768589,-123.0725838
17462,,fountain,49.1336355,-123.0918342
17693,,fountain,49.252447,-122.7368727
17694,,fountain,49.2518702,-122.7371611
