,name,amenity,lat,lon,neighbourhood
0,Starbucks,cafe,49.260812,-123.125736,Fairview
1,Salad Loop,fast_food,49.260953,-123.125704,Fairview
7,The Cambie,pub,49.2831924,-123.1090499,Downtown
13,McDonald's,fast_food,49.2347493,-123.1547249,Shaughnessy
15,Waves,cafe,49.2635825,-123.1288364,Fairview
24,Faculty Brewing,bar,49.268662,-123.1045109,Mount Pleasant
25,Argo Cafe,cafe,49.2685718,-123.1045263,Mount Pleasant
26,R & B Ale & Pizza House,pub,49.2672519,-123.1033949,Mount Pleasant
30,Waves Coffee,cafe,49.2821554,-123.0998393,Downtown
31,The Uncommon Cafe,cafe,49.2831728,-123.0935162,Strathcona
32,Back and Forth Bar,bar,49.2821955,-123.1024011,Downtown
33,Soft Peaks Ice Cream,ice_cream,49.2836044,-123.1036863,Downtown
34,131 Water Kitchen & Bar,bar,49.284169,-123.1073434,Downtown
35,Tim Hortons,cafe,49.2731066,-123.1007271,Downtown
38,Chongqing on Robson,fast_food,49.2866244,-123.1282577,West End
39,A Taste of India,fast_food,49.2867409,-123.1284213,West End
40,Chatime,cafe,49.2866006,-123.1282087,West End
41,Pok'e Time,fast_food,49.2865615,-123.1281828,West End
42,Abode,cafe,49.2864194,-123.1272344,West End
43,Shenanigans,pub,49.2866559,-123.1274985,West End
49,The Wicklow Pub,pub,49.2687109,-123.1186399,Fairview
50,Callister Tasting Room,bar,49.2821452,-123.0762115,Grandview-Woodland
51,Powell Brewery Tasting Room,bar,49.2833626,-123.0757512,Grandview-Woodland
52,Strange Fellows Tasting Room,bar,49.2724958,-123.0777288,Strathcona
53,Exile,cafe,49.2814778,-123.1336029,West End
54,Dublin Crossing Irish Pub,pub,49.2094419,-123.1161616,Marpole
56,Starbucks,cafe,49.2873431,-123.1143935,Downtown
57,Smokehouse Sandwich Co,fast_food,49.2842686,-123.1197597,Downtown
58,Tim Hortons,cafe,49.2387806,-123.0316319,Renfrew-Collingwood
59,Essentia Cafe,cafe,49.2641324,-123.1816701,Kitsilano
61,Starbucks,cafe,49.2686141,-123.158778,Kitsilano
62,Tim Hortons,cafe,49.2859029,-123.1249177,West End
63,A&W,fast_food,49.2860548,-123.1251718,West End
64,Subway,fast_food,49.2860886,-123.1252316,West End
65,Starbucks,cafe,49.2876133,-123.1149238,Downtown
66,Alibi Room,pub,49.2842068,-123.1002041,Downtown
67,A&W,fast_food,49.2633356,-123.1144174,Mount Pleasant
68,Elysian Coffee Roasters,cafe,49.2630977,-123.1172998,Fairview
69,Starbucks,cafe,49.212995,-123.1401,Marpole
78,Caffe Artigiano,cafe,49.2492264,-123.1007752,Riley Park
79,Starbucks,cafe,49.2796195,-123.0999337,Downtown
80,Tim Hortons,fast_food,49.2262222,-123.1287693,Oakridge
81,Blenz,cafe,49.2327522,-123.1172852,Oakridge
82,Gong Cha,cafe,49.2792232,-123.1168269,Downtown
88,Panago Pizza,fast_food,49.2725297,-123.0562043,Hastings-Sunrise
104,Dairy Queen,fast_food,49.2567827,-123.184916,Dunbar-Southlands
107,Subway,fast_food,49.29089,-123.1342671,West End
110,Freshslice,fast_food,49.2081902,-123.1401346,Marpole
111,Donair Spot,fast_food,49.208235,-123.1401305,Marpole
116,Freshslice Pizza,fast_food,49.2312042,-123.0657754,Victoria-Fraserview
127,Freshslice Pizza,fast_food,49.2630367,-123.1013042,Mount Pleasant
134,McDonald's,fast_food,49.2081236,-123.1407827,Marpole
136,McDonald's,fast_food,49.265883,-123.0242786,Hastings-Sunrise
139,Subway,fast_food,49.2467974,-123.068237,Kensington-Cedar Cottage
145,McDonald's,fast_food,49.233088,-123.0657292,Kensington-Cedar Cottage
146,Kent's Kitchen,fast_food,49.233102,-123.0659438,Kensington-Cedar Cottage
147,Hometown Pizza,fast_food,49.2179175,-123.0766614,Victoria-Fraserview
148,Papa Dave's Pizza Indian Cuisine,fast_food,49.2256886,-123.0777235,Sunset
149,McDonald's,fast_food,49.2182564,-123.0773813,Sunset
150,East Side Craft House,pub,49.2329149,-123.0761197,Kensington-Cedar Cottage
151,KFC,fast_food,49.2256116,-123.0777236,Sunset
152,McDonald's,fast_food,49.2633884,-123.1160798,Fairview
153,Tim Hortons,cafe,49.2635191,-123.1231332,Fairview
154,Starbucks,cafe,49.2632049,-123.1070497,Mount Pleasant
155,Fatburger,fast_food,49.2632776,-123.1106188,Mount Pleasant
156,,pub,49.2632663,-123.110529,Mount Pleasant
157,Subway,fast_food,49.2633362,-123.113621,Mount Pleasant
158,A&W,fast_food,49.2634886,-123.1215189,Fairview
159,Starbucks,cafe,49.2673455,-123.112992,Mount Pleasant
160,Dairy Queen,fast_food,49.2390725,-123.0650033,Kensington-Cedar Cottage
161,La Casa Gelato,ice_cream,49.2769275,-123.0815616,Strathcona
163,McDonald's,fast_food,49.2906218,-123.1338516,West End
165,Starbucks,cafe,49.235221,-123.1157169,Riley Park
218,Canra Plus,fast_food,49.2798847,-123.1068032,Downtown
219,Ryo,fast_food,49.2799835,-123.1065637,Downtown
220,India’s Flavour,fast_food,49.2800531,-123.1064691,Downtown
221,Kazoku,fast_food,49.2800925,-123.1064315,Downtown
238,McDonald's,fast_food,49.2808969,-123.1073143,Downtown
239,Caveman Cafe,cafe,49.2808098,-123.1070156,Downtown
240,Shiny Tea,bar,49.2802068,-123.1068483,Downtown
241,Taco Time,fast_food,49.2799281,-123.1066781,Downtown
242,Bubble King,fast_food,49.2799047,-123.106734,Downtown
243,Tina,fast_food,49.2799553,-123.1066209,Downtown
244,Thai Town,fast_food,49.2800166,-123.1065184,Downtown
245,Wow Thai Food,fast_food,49.2801753,-123.1063639,Downtown
246,Bali Thai,fast_food,49.2802143,-123.1063341,Downtown
247,Giant Panda,fast_food,49.2802598,-123.1063002,Downtown
250,Off The Rail Tasting Room,bar,49.2777606,-123.0760415,Grandview-Woodland
251,Bomber Tasting Room,bar,49.2774745,-123.0745168,Grandview-Woodland
257,The Wine Bar,bar,49.2733358,-123.1195188,Downtown
258,Yummy to Go,fast_food,49.28645,-123.1403248,West End
259,Tim Hortons,cafe,49.2865567,-123.1410036,West End
