,name,amenity,lat,lon
0,Starbucks,cafe,49.260812,-123.125736
1,Salad Loop,fast_food,49.260953,-123.125704
3,,bbq,49.2498481,-122.959708
9,,vending_machine,49.3705855,-123.2743869
10,,vending_machine,49.3705742,-123.2743627
11,,vending_machine,49.3705637,-123.2743775
12,,vending_machine,49.3705707,-123.2744003
16,The Cambie,pub,49.2831924,-123.1090499
19,Mahony and Sons,pub,49.2659507,-123.2466297
33,Tim Hortons,cafe,49.1935797,-123.1807883
52,Tim Hortons,cafe,49.2284004,-122.8483834
54,Tim Hortons,cafe,49.212449,-122.9197493
55,Starbucks,cafe,49.212659,-122.9193469
67,McDonald's,fast_food,49.2347493,-123.1547249
72,Koerner's Pub,pub,49.2684891,-123.258088
83,Waves,cafe,49.2635825,-123.1288364
84,Subway,fast_food,49.1401463,-123.1378853
87,Legends Pub,bar,49.1556713,-123.1248972
88,KFC,fast_food,49.1398614,-123.137394
89,Pizza Hut (takeout),fast_food,49.1486188,-123.1358921
90,McDonald's,fast_food,49.1330851,-123.0940869
91,Burger King,fast_food,49.1329977,-123.0973124
95,Triple O's,fast_food,49.091207,-122.9564485
96,Tim Hortons,cafe,49.0919518,-122.9576502
108,Faculty Brewing,bar,49.268662,-123.1045109
115,Argo Cafe,cafe,49.2685718,-123.1045263
117,R & B Ale & Pizza House,pub,49.2672519,-123.1033949
185,,vending_machine,49.0378502,-122.2360735
254,Starbucks,cafe,49.278119,-122.9122848
296,,food_court,49.2665882,-123.2427218
303,Waves Coffee,cafe,49.2821554,-123.0998393
306,The Uncommon Cafe,cafe,49.2831728,-123.0935162
310,Back and Forth Bar,bar,49.2821955,-123.1024011
312,Soft Peaks Ice Cream,ice_cream,49.2836044,-123.1036863
313,131 Water Kitchen & Bar,bar,49.284169,-123.1073434
315,Tim Hortons,cafe,49.2731066,-123.1007271
320,Subway,fast_food,49.2427149,-123.004048
328,Starbucks,cafe,49.2769081,-122.8589634
331,Chongqing on Robson,fast_food,49.2866244,-123.1282577
333,A Taste of India,fast_food,49.2867409,-123.1284213
340,Chatime,cafe,49.2866006,-123.1282087
341,Pok'e Time,fast_food,49.2865615,-123.1281828
342,Abode,cafe,49.2864194,-123.1272344
343,Shenanigans,pub,49.2866559,-123.1274985
405,Red Burrito,fast_food,49.2657244,-123.2430971
406,Pita Pit,fast_food,49.2661113,-123.2420861
407,Only U Cafe,cafe,49.2660115,-123.2423353
414,Subway,fast_food,49.0558043,-122.2722298
417,Triple O's,fast_food,49.13295,-122.5818856
439,The Wicklow Pub,pub,49.2687109,-123.1186399
440,Callister Tasting Room,bar,49.2821452,-123.0762115
444,Powell Brewery Tasting Room,bar,49.2833626,-123.0757512
448,Strange Fellows Tasting Room,bar,49.2724958,-123.0777288
460,Exile,cafe,49.2814778,-123.1336029
504,Dublin Crossing Irish Pub,pub,49.2094419,-123.1161616
517,Starbucks,cafe,49.0408954,-122.2698339
617,Starbucks,cafe,49.2873431,-123.1143935
629,Smokehouse Sandwich Co,fast_food,49.2842686,-123.1197597
636,Tim Hortons,cafe,49.2387806,-123.0316319
637,Essentia Cafe,cafe,49.2641324,-123.1816701
645,,vending_machine,49.0892101,-122.3152678
650,Starbucks,cafe,49.2686141,-123.158778
