,name,amenity,lat,lon,neighbourhood
0,The Cambie,pub,49.2831924,-123.1090499,Downtown
4,Faculty Brewing,bar,49.268662,-123.1045109,Mount Pleasant
5,R & B Ale & Pizza House,pub,49.2672519,-123.1033949,Mount Pleasant
6,Back and Forth Bar,bar,49.2821955,-123.1024011,Downtown
7,131 Water Kitchen & Bar,bar,49.284169,-123.1073434,Downtown
8,Shenanigans,pub,49.2866559,-123.1274985,West End
9,The Wicklow Pub,pub,49.2687109,-123.1186399,Fairview
10,Callister Tasting Room,bar,49.2821452,-123.0762115,Grandview-Woodland
11,Powell Brewery Tasting Room,bar,49.2833626,-123.0757512,Grandview-Woodland
12,Strange Fellows Tasting Room,bar,49.2724958,-123.0777288,Strathcona
13,Dublin Crossing Irish Pub,pub,49.2094419,-123.1161616,Marpole
14,Alibi Room,pub,49.2842068,-123.1002041,Downtown
16,Privé,nightclub,49.2753913,-123.1096402,Downtown
21,East Side Craft House,pub,49.2329149,-123.0761197,Kensington-Cedar Cottage
22,,pub,49.2632663,-123.110529,Mount Pleasant
37,Shiny Tea,bar,49.2802068,-123.1068483,Downtown
39,Off The Rail Tasting Room,bar,49.2777606,-123.0760415,Grandview-Woodland
40,Bomber Tasting Room,bar,49.2774745,-123.0745168,Grandview-Woodland
42,The Wine Bar,bar,49.2733358,-123.1195188,Downtown
44,Princeton Pub,pub,49.2849397,-123.0649633,Grandview-Woodland
46,Pourhouse,pub,49.2841314,-123.1083829,Downtown
50,Cecil Bar,bar,49.2756868,-123.1281101,Downtown
51,Soho,bar,49.2741305,-123.1241126,Downtown
52,Yaletown Distilling Company,bar,49.2753903,-123.1216407,Downtown
53,The Distillery Bar,bar,49.2752508,-123.1212681,Downtown
55,The Cascade,bar,49.2616715,-123.1007497,Mount Pleasant
59,Gringo,bar,49.2832515,-123.105379,Downtown
61,Dubh Linn Gate,pub,49.2714968,-123.1006411,Mount Pleasant
80,Tap & Barrel,pub,49.2898003,-123.1168924,Downtown
82,Johnnie Fox's,bar,49.2790349,-123.1235947,Downtown
92,Prohibition,bar,49.2837396,-123.1184966,Downtown
97,The Shameful Tiki,bar,49.2468517,-123.1009139,Riley Park
98,Hollywood North,bar,49.2799921,-123.1197031,Downtown
99,Dogwood Lounge,bar,49.2098852,-123.0817139,Sunset
100,Cinema Public House,pub,49.2803131,-123.1216797,Downtown
101,Playhouse Nightclub,nightclub,49.2801451,-123.1313539,West End
