,name,amenity,lat,lon
16,The Cambie,pub,49.2831924,-123.1090499
19,Mahony and Sons,pub,49.2659507,-123.2466297
72,Koerner's Pub,pub,49.2684891,-123.258088
87,Legends Pub,bar,49.1556713,-123.1248972
108,Faculty Brewing,bar,49.268662,-123.1045109
117,R & B Ale & Pizza House,pub,49.2672519,-123.1033949
310,Back and Forth Bar,bar,49.2821955,-123.1024011
313,131 Water Kitchen & Bar,bar,49.284169,-123.1073434
343,Shenanigans,pub,49.2866559,-123.1274985
439,The Wicklow Pub,pub,49.2687109,-123.1186399
440,Callister Tasting Room,bar,49.2821452,-123.0762115
444,Powell Brewery Tasting Room,bar,49.2833626,-123.0757512
448,Strange Fellows Tasting Room,bar,49.2724958,-123.0777288
504,Dublin Crossing Irish Pub,pub,49.2094419,-123.1161616
701,Alibi Room,pub,49.2842068,-123.1002041
838,Walnut Grove Pub & Liqour Store,bar,49.1622956,-122.6548929
878,Privé,nightclub,49.2753913,-123.1096402
980,Romer's,pub,49.2795471,-122.82931
1253,Browns Social House,pub,49.1654069,-122.6633306
1273,The Thirsty Duck,pub,49.2077342,-122.9309659
1407,Jolly Coachman Pub,pub,49.2225148,-122.6904636
1510,East Side Craft House,pub,49.2329149,-123.0761197
1553,,pub,49.2632663,-123.110529
1593,Raven Pub,pub,49.316484,-122.9533431
1656,Parkside Brewing,pub,49.2785872,-122.8510267
1672,Cupcakes,bar,49.227124,-123.0003251
1673,Orange Julius,bar,49.2272799,-123.0001798
1681,Jugo Juice,bar,49.2262262,-123.0019735
1696,Cinnzeo,bar,49.2273214,-123.0002274
1742,Menchie's,bar,49.2274297,-123.0001335
1751,Kernels,bar,49.2255829,-122.9983657
1776,Eggstatic,bar,49.2287893,-123.0046579
1808,Jugo Juice,bar,49.2504797,-122.8951099
1810,Big Orange,bar,49.2515309,-122.8957313
1813,Chop & Toss,bar,49.2505677,-122.8949895
1818,Fuel Cafe',bar,49.2275513,-122.8363525
1838,Orange Julius,bar,49.2507042,-122.8961076
1857,Shiny Tea,bar,49.2802068,-123.1068483
1876,Deep Cove Brewers and Distillers Lounge,bar,49.3063936,-123.0115775
1891,Off The Rail Tasting Room,bar,49.2777606,-123.0760415
1892,Bomber Tasting Room,bar,49.2774745,-123.0745168
1908,Fuggles & Warlock Tasting Room,bar,49.1293757,-123.0952983
1964,The Wine Bar,bar,49.2733358,-123.1195188
2032,Little Monk Pretzels,bar,49.2256833,-122.999253
2033,Princeton Pub,pub,49.2849397,-123.0649633
2046,,bar,49.2293669,-123.0041555
2078,Pourhouse,pub,49.2841314,-123.1083829
2093,Judge Begbies,bar,49.2031688,-122.908271
2096,Hops,bar,49.2017326,-122.9124591
2102,Gabby's Country Cabaret,nightclub,49.1058067,-122.6603499
2124,Cecil Bar,bar,49.2756868,-123.1281101
2134,Soho,bar,49.2741305,-123.1241126
2142,Yaletown Distilling Company,bar,49.2753903,-123.1216407
2150,The Distillery Bar,bar,49.2752508,-123.1212681
2165,Clydesdale Coverdale,pub,49.103954,-122.734208
2177,The Cascade,bar,49.2616715,-123.1007497
2318,Baselines Pub,pub,49.104928,-122.658331
2412,Sundance Pub,bar,49.0896971,-123.0421766
