,Neighbourhood,Prediction
0,Arbutus Ridge,16350.65090909091
1,Downtown,61938.672727272846
2,Dunbar-Southlands,22285.589090909096
3,Fairview,36562.62909090915
4,Grandview-Woodland,29749.818181818177
5,Hastings-Sunrise,35903.06545454543
6,Kensington-Cedar Cottage,51547.116363636334
7,Kerrisdale,14713.59636363636
8,Killarney,33210.02545454539
9,Kitsilano,44199.21454545454
10,Marpole,26008.160000000033
11,Mount Pleasant,30192.170909090957
12,Oakridge,13217.654545454541
13,Renfrew-Collingwood,56028.77090909076
14,Riley Park,23123.00363636363
15,Shaughnessy,8297.214545454546
16,South Cambie,7750.007272727278
17,Strathcona,12617.723636363633
18,Sunset,39520.91636363638
19,Victoria-Fraserview,32520.37090909097
20,West End,47468.123636363656
21,West Point Grey,13434.385454545452
