,name,amenity,lat,lon,neighbourhood
2,Point Grey Inter-Mennonite Fellowship (PGIMF),place_of_worship,49.2625252,-123.1943817,West Point Grey
3,Allan Kardec Vancouver Society,place_of_worship,49.265853,-123.2114567,West Point Grey
19,Evergreen Taoist Church Of Canada,place_of_worship,49.2796065,-123.0988652,Strathcona
25,Chinese Grace Mennonite Church,place_of_worship,49.27041,-123.0690156,Grandview-Woodland
33,Pentecostal Tabernacle,place_of_worship,49.2582457,-123.1396559,Fairview
40,Congregation Beth Israel,place_of_worship,49.24655,-123.1270994,South Cambie
46,PTT Buddhist Temple,place_of_worship,49.2792607,-123.0931409,Strathcona
53,First Hungarian Presbyterian Church,place_of_worship,49.2464859,-123.0473467,Renfrew-Collingwood
54,Vancouver Amen Church,place_of_worship,49.2465512,-123.0473493,Renfrew-Collingwood
55,St. George’s Greek Orthodox Church,place_of_worship,49.2453958,-123.1528163,Arbutus-Ridge
60,St. James',place_of_worship,49.2824284,-123.0971964,Strathcona
84,Westside Church,place_of_worship,49.2799366,-123.11653,Downtown
86,Kingdom Hall of Jehovah's Witnesses,place_of_worship,49.2889297,-123.1318469,West End
88,St Helens Anglican Church,place_of_worship,49.2656591,-123.2062173,West Point Grey
89,Oakridge Adventist Chruch,place_of_worship,49.2370973,-123.1218069,South Cambie
90,Potters Place Mission,place_of_worship,49.2816298,-123.1036995,Downtown
91,Trinity Central,place_of_worship,49.277043,-123.1247982,Downtown
94,Fu-Niu Buddhist Temple,place_of_worship,49.2356476,-123.0441064,Renfrew-Collingwood
100,Central Presbyterian Church,place_of_worship,49.2810499,-123.1304873,West End
103,,place_of_worship,49.2287667,-123.1955005,Dunbar-Southlands
