,name,amenity,lat,lon
4,St. Monica's Anglican Church,place_of_worship,49.3708976,-123.2804478
62,Sacred Heart,place_of_worship,49.0750325,-123.077857
706,Point Grey Inter-Mennonite Fellowship (PGIMF),place_of_worship,49.2625252,-123.1943817
826,Allan Kardec Vancouver Society,place_of_worship,49.265853,-123.2114567
1010,,place_of_worship,49.1697163,-122.6671343
1277,Steveston Community Church,place_of_worship,49.1270538,-123.183812
1592,,place_of_worship,49.3192885,-122.9531961
2036,Christ the King Church,place_of_worship,49.0891294,-122.5971914
2121,Maple Ridge Alliance Church,place_of_worship,49.2218277,-122.655869
2442,Ladner Baptist Church,place_of_worship,49.0895514,-123.067012
2443,Ladner United Church,place_of_worship,49.0899671,-123.0862876
2444,Saviour Lutheran Church,place_of_worship,49.0890526,-123.0658533
2447,All Saints Ladner Anglican Church,place_of_worship,49.0895725,-123.0819782
2476,Fraserview Mennonite Brethren Church,place_of_worship,49.1858124,-123.0990044
2827,Kingdom Hall of Jehova's Witnesses,place_of_worship,49.3362027,-123.1245398
2829,Sharon United Church,place_of_worship,49.0897414,-122.6257615
2831,,place_of_worship,49.0429517,-122.6660326
2937,Willingdon Church,place_of_worship,49.2416768,-123.00255
2958,Gurdwara Nanaksar Surrey,place_of_worship,49.1625042,-122.8287439
2960,Evergreen Taoist Church Of Canada,place_of_worship,49.2796065,-123.0988652
3003,Cascade Community Church,place_of_worship,49.0344637,-122.2494433
3127,,place_of_worship,49.2150574,-123.0058297
3168,Freshwind Christian Fellowship,place_of_worship,49.0462119,-122.3445471
3171,,place_of_worship,49.1484842,-122.7554679
3183,Cedar Brook Church,place_of_worship,49.0596005,-122.3166213
3322,Chinese Grace Mennonite Church,place_of_worship,49.27041,-123.0690156
3330,Langley Evangelical Free Church,place_of_worship,49.089837,-122.647255
3372,"Church of God in Christ, Mennonite",place_of_worship,49.0753664,-122.4031151
4086,Kingdom Hall Of Jehovah's Witnesses,place_of_worship,49.1698912,-123.1020285
4450,New West Community Church,place_of_worship,49.2261948,-122.8945091
4583,Yoga and Meditation Studio,meditation_centre,49.0463884,-122.3485056
4591,Abbotsford Punjabi Church,place_of_worship,49.0159102,-122.3259012
4684,Living Waters Church,place_of_worship,49.1677709,-122.5809924
4748,Pentecostal Tabernacle,place_of_worship,49.2582457,-123.1396559
5066,St. George's Anglican Church,place_of_worship,49.1688298,-122.5775199
5067,Cornerstone Seventh Day Adventist Church,place_of_worship,49.2960125,-122.817602
5068,Sam Yuk Recreation and Cultural Centre,place_of_worship,49.2961385,-122.8179668
5230,Shabbat Shel Shalom Messianic Fellowship,place_of_worship,49.0552844,-122.3373633
5584,Cariboo Road Christian Fellowship,place_of_worship,49.2443891,-122.9087262
6312,Golden Ears United,place_of_worship,49.2208995,-122.6079825
6382,Congregation Beth Israel,place_of_worship,49.24655,-123.1270994
6584,The King's Community Church,place_of_worship,49.1443608,-122.6182525
6685,Lighthouse Church,place_of_worship,49.0907889,-123.0695177
6686,Cedar Park Church,place_of_worship,49.0827377,-123.0764181
6687,Pneuma Church,place_of_worship,49.0893484,-123.064974
6688,Ladner Gospel Assembly,place_of_worship,49.0840124,-123.085511
7081,PTT Buddhist Temple,place_of_worship,49.2792607,-123.0931409
7101,doug tree,place_of_worship,49.3467408,-123.1626763
7167,,place_of_worship,49.0426591,-122.2877248
7322,The Open Church,place_of_worship,49.0617818,-122.3153627
7809,United Church,place_of_worship,49.2511774,-122.8616485
8388,korean church,place_of_worship,49.2569526,-122.8517896
8608,,place_of_worship,49.2162667,-122.9888517
8611,First Hungarian Presbyterian Church,place_of_worship,49.2464859,-123.0473467
8612,Vancouver Amen Church,place_of_worship,49.2465512,-123.0473493
8616,St. George’s Greek Orthodox Church,place_of_worship,49.2453958,-123.1528163
8709,Kingdom Hall of Jehovah's Witnesses,place_of_worship,49.2497263,-122.9765437
9062,,place_of_worship,49.2049477,-122.8823982
9063,,place_of_worship,49.2041449,-122.8810151
9429,Milal Methodist Church,place_of_worship,49.0385187,-122.3048616
9629,St. James',place_of_worship,49.2824284,-123.0971964
9701,Abbotsford Community Church,place_of_worship,49.0533632,-122.3384536
9707,New Hope Christian Centre,place_of_worship,49.0533036,-122.3382933
9786,Kingsway Church,place_of_worship,49.2330793,-123.0143007
9810,Saint Francis in the Woods,place_of_worship,49.3393185,-123.2551803
10137,Aldergrove Vineyard Church,place_of_worship,49.0580204,-122.4675638
10139,United Church,place_of_worship,49.0575934,-122.466806
10271,Maple Ridge Christian Reformed Church,place_of_worship,49.2218622,-122.6599878
10292,St. Michael Parish,place_of_worship,49.2361619,-122.8968372
10721,,place_of_worship,49.2080991,-122.9300099
10755,Eagle Ridge United Church,place_of_worship,49.2830015,-122.8076695
11900,Southgate Church,place_of_worship,49.1021237,-122.6578541
11955,Connecting Community Church,place_of_worship,49.1991228,-122.8169054
11962,Divine Dharma Meditation,place_of_worship,49.1992211,-122.8146369
11984,River Kid's Church,place_of_worship,49.0488385,-122.295333
11987,The River Community Church,place_of_worship,49.0487165,-122.2953328
12008,Jesus Rock of Ages Ministries,place_of_worship,49.0497291,-122.3367982
12275,,place_of_worship,49.2195913,-122.9270527
12308,,place_of_worship,49.0400829,-123.0976937
12383,,place_of_worship,49.332978,-123.105134
12387,,place_of_worship,49.0554092,-122.2720858
12510,Cloverdale Christian Fellowship,place_of_worship,49.1220586,-122.729241
12690,Vancouver Life Church,place_of_worship,49.2132529,-122.8278038
12744,St Ann's Convent,monastery,49.040367,-122.3042417
13150,Westside Church,place_of_worship,49.2799366,-123.11653
13164,Tabernacle House of Prayer,place_of_worship,49.0462637,-122.293854
13225,Kingdom Hall of Jehovah's Witnesses,place_of_worship,49.2889297,-123.1318469
13321,,place_of_worship,49.0752034,-122.6420625
13459,St Helens Anglican Church,place_of_worship,49.2656591,-123.2062173
13589,Oakridge Adventist Chruch,place_of_worship,49.2370973,-123.1218069
